mysql> source /Users/hariskaterelos/Documents/hospital-db-management/queries/1.sql
Query OK, 0 rows affected (0.01 sec)

mysql> select * from query_1;
+----------+------+----------+--------------------------+-------------------+-----------------+--------------------+----------------+
| tmima_id | etos | kod_ken  | asfalistikos_foreas      | arithmos_nosilion | synoliko_vasiko | synoliko_prostheto | synoliko_esoda |
|        1 | 2025 | Ν38Χ     | ΕΟΠΥΥ                    |                 1 |          879.00 |             219.75 |        1098.75 |
|        1 | 2025 | Ν68Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          565.00 |            1412.50 |        1977.50 |
|        1 | 2025 | Ο10Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          650.00 |            8450.00 |        9100.00 |
|        1 | 2025 | Π40Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          677.00 |            1015.50 |        1692.50 |
|        1 | 2025 | Π45Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1246.00 |             830.68 |        2076.68 |
|        1 | 2025 | Ρ05Μα    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         8110.00 |               0.00 |        8110.00 |
|        1 | 2025 | Ρ20Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         6023.00 |            1642.65 |        7665.65 |
|        1 | 2025 | Ρ21Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          778.00 |            1361.50 |        2139.50 |
|        1 | 2025 | Τ02Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        20279.00 |               0.00 |       20279.00 |
|        1 | 2025 | Τ06Χ     | ΕΟΠΥΥ                    |                 1 |         5062.00 |               0.00 |        5062.00 |
|        1 | 2025 | Τ26Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2346.00 |             391.00 |        2737.00 |
|        1 | 2025 | Υ23Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          560.00 |            1120.02 |        1680.02 |
|        1 | 2025 | Υ27Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1673.00 |             956.00 |        2629.00 |
|        1 | 2025 | Ω06Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1125.00 |            7875.00 |        9000.00 |
|        1 | 2025 | Ω12Α     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1892.00 |           20812.00 |       22704.00 |
|        2 | 2024 | Α10Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         6036.00 |             503.00 |        6539.00 |
|        2 | 2024 | Δ08Χ     | ΙΚΑ-ΕΦΚΑ                 |                 3 |         2373.00 |            8305.50 |       10678.50 |
|        2 | 2024 | Δ09Α     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1376.00 |            7568.00 |        8944.00 |
|        2 | 2024 | Δ22Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          965.00 |            1158.00 |        2123.00 |
|        2 | 2024 | Δ24Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1619.00 |             719.56 |        2338.56 |
|        2 | 2024 | Ζ02Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2979.00 |               0.00 |        2979.00 |
|        2 | 2024 | Ζ20Α     | ΙΚΑ-ΕΦΚΑ                 |                 2 |          482.00 |            6266.00 |        6748.00 |
|        2 | 2024 | Θ01Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2801.00 |             233.42 |        3034.42 |
|        2 | 2024 | Θ03Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         3297.00 |            2747.50 |        6044.50 |
|        2 | 2024 | Θ20Α     | ΙΚΑ-ΕΦΚΑ                 |                 3 |          891.00 |            9801.00 |       10692.00 |
|        2 | 2024 | Κ01Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        12420.00 |           12420.00 |       24840.00 |
|        2 | 2024 | Κ39Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          327.00 |            1144.50 |        1471.50 |
|        2 | 2024 | Κ42Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2054.00 |             410.80 |        2464.80 |
|        2 | 2024 | Μ15Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         3761.00 |               0.00 |        3761.00 |
|        2 | 2024 | Μ32Μα    | ΙΚΑ-ΕΦΚΑ                 |                 1 |        12912.00 |               0.00 |       12912.00 |
|        2 | 2024 | Μ61Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          856.00 |             642.00 |        1498.00 |
|        2 | 2024 | Μ72Μ     | ΕΟΠΥΥ                    |                 1 |         1681.00 |               0.00 |        1681.00 |
|        2 | 2024 | Μ76Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1292.00 |               0.00 |        1292.00 |
|        2 | 2024 | Ν03Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         5914.00 |               0.00 |        5914.00 |
|        2 | 2024 | Ν07Μ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         5026.00 |               0.00 |        5026.00 |
|        2 | 2024 | Ν24Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1159.00 |             579.51 |        1738.51 |
|        2 | 2024 | Ν82Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2475.00 |             675.00 |        3150.00 |
|        2 | 2024 | Ο14Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          406.00 |            2233.00 |        2639.00 |
|        2 | 2024 | Ο17Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2423.00 |             242.30 |        2665.30 |
|        2 | 2024 | Π12Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1934.00 |            3867.96 |        5801.96 |
|        2 | 2024 | Π42Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1097.00 |            1974.60 |        3071.60 |
|        2 | 2024 | Ρ22Μ     | ΕΟΠΥΥ                    |                 4 |         4420.00 |            1105.00 |        5525.00 |
|        2 | 2024 | Σ02Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         5777.00 |               0.00 |        5777.00 |
|        2 | 2024 | Σ03Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         6097.00 |               0.00 |        6097.00 |
|        2 | 2024 | Τ26Μγ    | ΙΚΑ-ΕΦΚΑ                 |                 3 |         4932.00 |             896.70 |        5828.70 |
|        2 | 2024 | Υ07Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1218.00 |            1705.20 |        2923.20 |
|        2 | 2024 | Υ08Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1271.00 |             508.40 |        1779.40 |
|        2 | 2024 | Χ42Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1331.00 |             166.38 |        1497.38 |
|        2 | 2025 | Γ05Χ     | ΕΟΠΥΥ                    |                 3 |         4122.00 |           12366.00 |       16488.00 |
|        2 | 2025 | Δ01Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         6452.00 |               0.00 |        6452.00 |
|        2 | 2025 | Δ08Χ     | ΙΚΑ-ΕΦΚΑ                 |                 3 |         2373.00 |           14238.00 |       16611.00 |
|        2 | 2025 | Δ13Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2856.00 |               0.00 |        2856.00 |
|        2 | 2025 | Δ22Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          965.00 |             965.00 |        1930.00 |
|        2 | 2025 | Δ24Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          802.00 |             802.00 |        1604.00 |
|        2 | 2025 | Ε06Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        39863.00 |               0.00 |       39863.00 |
|        2 | 2025 | Ε08Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        10017.00 |               0.00 |       10017.00 |
|        2 | 2025 | Ε08Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         3683.00 |            1104.90 |        4787.90 |
|        2 | 2025 | Ζ21Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          848.00 |             212.00 |        1060.00 |
|        2 | 2025 | Η01Μ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |        15832.00 |               0.00 |       15832.00 |
|        2 | 2025 | Λ03Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          886.00 |            3987.00 |        4873.00 |
|        2 | 2025 | Μ10Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1908.00 |            4770.00 |        6678.00 |
|        2 | 2025 | Μ17Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2708.00 |            8124.03 |       10832.03 |
|        2 | 2025 | Ν05Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          439.00 |            1756.00 |        2195.00 |
|        2 | 2025 | Ν07Χ     | ΙΚΑ-ΕΦΚΑ                 |                 3 |         3330.00 |           14985.00 |       18315.00 |
|        2 | 2025 | Ν25Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          482.00 |             964.00 |        1446.00 |
|        2 | 2025 | Ο03Α     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1674.00 |           10044.00 |       11718.00 |
|        2 | 2025 | Ο14Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          406.00 |            1827.00 |        2233.00 |
|        2 | 2025 | Π50Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1136.00 |             757.32 |        1893.32 |
|        2 | 2025 | Ρ10Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 2 |         5376.00 |               0.00 |        5376.00 |
|        2 | 2025 | Ρ10Χ     | ΙΚΑ-ΕΦΚΑ                 |                 3 |         4419.00 |               0.00 |        4419.00 |
|        2 | 2025 | Σ01Χ     | Ανασφάλιστος             |                 1 |         2236.00 |            2981.36 |        5217.36 |
|        2 | 2025 | Υ05Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1000.00 |            2333.31 |        3333.31 |
|        2 | 2025 | Υ06Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          808.00 |            4848.00 |        5656.00 |
|        2 | 2025 | Υ20Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          767.00 |            1917.50 |        2684.50 |
|        2 | 2025 | Υ25Χ     | ΟΑΕΕ-ΕΦΚΑ                |                 2 |          810.00 |            1620.00 |        2430.00 |
|        2 | 2025 | Φ02Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         9426.00 |               0.00 |        9426.00 |
|        2 | 2025 | Φ60Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1144.00 |             163.43 |        1307.43 |
|        2 | 2025 | Χ20Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          148.00 |             888.00 |        1036.00 |
|        2 | 2025 | Χ43Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2568.00 |               0.00 |        2568.00 |
|        2 | 2025 | Ω06Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1125.00 |           12375.00 |       13500.00 |
|        3 | 2024 | Α24Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1821.00 |               0.00 |        1821.00 |
|        3 | 2024 | Α25Μ     | ΤΣΑΥ                     |                 1 |         1766.00 |             392.44 |        2158.44 |
|        3 | 2024 | Α35Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          475.00 |            2137.50 |        2612.50 |
|        3 | 2024 | Β02Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1719.00 |             491.14 |        2210.14 |
|        3 | 2024 | Γ07Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          742.00 |            8162.00 |        8904.00 |
|        3 | 2024 | Γ12Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         3926.00 |            9815.00 |       13741.00 |
|        3 | 2024 | Δ24Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1619.00 |             359.78 |        1978.78 |
|        3 | 2024 | Δ29Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2171.00 |             197.36 |        2368.36 |
|        3 | 2024 | Ε04Α     | ΙΚΑ-ΕΦΚΑ                 |                 2 |        60030.00 |               0.00 |       60030.00 |
|        3 | 2024 | Ε08Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        10017.00 |               0.00 |       10017.00 |
|        3 | 2024 | Η02Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 3 |         7734.00 |               0.00 |        7734.00 |
|        3 | 2024 | Η07Μ     | ΤΣΑΥ                     |                 2 |         8598.00 |               0.00 |        8598.00 |
|        3 | 2024 | Η23Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2552.00 |               0.00 |        2552.00 |
|        3 | 2024 | Η23Μ     | ΟΑΕΕ-ΕΦΚΑ                |                 2 |         5104.00 |               0.00 |        5104.00 |
|        3 | 2024 | Θ06Χ     | ΤΣΑΥ                     |                 1 |         1581.00 |            2371.50 |        3952.50 |
|        3 | 2024 | Θ21Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2599.00 |             433.16 |        3032.16 |
|        3 | 2024 | Θ23Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          405.00 |            1012.50 |        1417.50 |
|        3 | 2024 | Κ32Μ     | ΕΟΠΥΥ                    |                 1 |         2062.00 |               0.00 |        2062.00 |
|        3 | 2024 | Κ41Μ     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |         4801.00 |               0.00 |        4801.00 |
|        3 | 2024 | Μ04Χ     | ΕΟΠΥΥ                    |                 1 |         6611.00 |            6610.98 |       13221.98 |
|        3 | 2024 | Μ25Μ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         5728.00 |               0.00 |        5728.00 |
|        3 | 2024 | Μ30Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          891.00 |            6237.00 |        7128.00 |
|        3 | 2024 | Μ64Μ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         5338.00 |               0.00 |        5338.00 |
|        3 | 2024 | Μ79Χ     | ΙΚΑ-ΕΦΚΑ                 |                 3 |         4110.00 |            2568.75 |        6678.75 |
|        3 | 2024 | Ν07Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1110.00 |            2775.00 |        3885.00 |
|        3 | 2024 | Ν39Χ     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |          537.00 |             460.26 |         997.26 |
|        3 | 2024 | Ξ21Μ     | ΕΟΠΥΥ                    |                 1 |         1136.00 |             189.33 |        1325.33 |
|        3 | 2024 | Π03Χα    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2826.00 |             353.25 |        3179.25 |
|        3 | 2024 | Π03Χβ    | ΙΚΑ-ΕΦΚΑ                 |                 3 |         5439.00 |           13597.50 |       19036.50 |
|        3 | 2024 | Π04Μα    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         4847.00 |               0.00 |        4847.00 |
|        3 | 2024 | Π04Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 3 |         8130.00 |               0.00 |        8130.00 |
|        3 | 2024 | Π05Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 3 |         6255.00 |             893.58 |        7148.58 |
|        3 | 2024 | Π12Χ     | ΕΟΠΥΥ                    |                 1 |          967.00 |            3223.30 |        4190.30 |
|        3 | 2024 | Π27Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          988.00 |             494.00 |        1482.00 |
|        3 | 2024 | Π28Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          872.00 |            1744.00 |        2616.00 |
|        3 | 2024 | Τ05Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |        10357.00 |               0.00 |       10357.00 |
|        3 | 2024 | Τ26Μγ    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1644.00 |               0.00 |        1644.00 |
|        3 | 2024 | Τ27Μγ    | ΙΚΑ-ΕΦΚΑ                 |                 1 |          918.00 |             367.20 |        1285.20 |
|        3 | 2024 | Φ03Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         5386.00 |               0.00 |        5386.00 |
|        3 | 2024 | Φ25Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          700.00 |            8400.00 |        9100.00 |
|        3 | 2024 | Φ26Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         1656.00 |            6624.00 |        8280.00 |
|        3 | 2024 | Ω04Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1934.00 |            3868.00 |        5802.00 |
|        3 | 2024 | Ω10Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          787.00 |            7083.00 |        7870.00 |
|        3 | 2025 | G01Μα    | ΕΟΠΥΥ                    |                 1 |         5709.00 |               0.00 |        5709.00 |
|        3 | 2025 | S01Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          540.00 |            2160.00 |        2700.00 |
|        3 | 2025 | Α29Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          397.00 |            2382.00 |        2779.00 |
|        3 | 2025 | Γ08Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          719.00 |            5033.00 |        5752.00 |
|        3 | 2025 | Δ11Α     | ΙΚΑ-ΕΦΚΑ                 |                 2 |          808.00 |            3232.00 |        4040.00 |
|        3 | 2025 | Δ14Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         4198.00 |             524.75 |        4722.75 |
|        3 | 2025 | Κ09Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2386.00 |            5567.31 |        7953.31 |
|        3 | 2025 | Κ38Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1284.00 |             963.00 |        2247.00 |
|        3 | 2025 | Κ45Μβ    | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1019.00 |             764.25 |        1783.25 |
|        3 | 2025 | Λ26Α     | ΙΚΑ-ΕΦΚΑ                 |                 3 |          771.00 |            3084.00 |        3855.00 |
|        3 | 2025 | Μ32Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         9147.00 |               0.00 |        9147.00 |
|        3 | 2025 | Μ69Χ     | Ανασφάλιστος             |                 3 |         1284.00 |            5778.00 |        7062.00 |
|        3 | 2025 | Μ78Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1463.00 |               0.00 |        1463.00 |
|        3 | 2025 | Ν21Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         4960.00 |               0.00 |        4960.00 |
|        3 | 2025 | Ν30Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          420.00 |            2520.00 |        2940.00 |
|        3 | 2025 | Ν31Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1510.00 |            1078.55 |        2588.55 |
|        3 | 2025 | Ν39Μ     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |         1323.00 |            2116.80 |        3439.80 |
|        3 | 2025 | Π28Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2062.00 |               0.00 |        2062.00 |
|        3 | 2025 | Τ06Μ     | ΤΣΑΥ                     |                 1 |        15128.00 |               0.00 |       15128.00 |
|        3 | 2025 | Υ03Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2992.00 |            1795.20 |        4787.20 |
|        3 | 2025 | Φ62Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1183.00 |            2957.50 |        4140.50 |
|        3 | 2025 | Ω30Χ     | ΟΑΕΕ-ΕΦΚΑ                |                 1 |          545.00 |            2452.50 |        2997.50 |
|        4 | 2024 | S24Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          216.00 |            2160.00 |        2376.00 |
|        4 | 2024 | Α01Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2712.00 |            1549.72 |        4261.72 |
|        4 | 2024 | Α21Χ     | ΕΟΠΥΥ                    |                 2 |         2070.00 |            2760.00 |        4830.00 |
|        4 | 2024 | Α29Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          397.00 |            2183.50 |        2580.50 |
|        4 | 2024 | Β03Α     | ΙΚΑ-ΕΦΚΑ                 |                 1 |          771.00 |            3855.00 |        4626.00 |
|        4 | 2024 | Γ04Χ     | ΙΚΑ-ΕΦΚΑ                 |                 2 |         3050.00 |            3049.98 |        6099.98 |
|        4 | 2024 | Γ05Χ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         1374.00 |            4122.00 |        5496.00 |
|        4 | 2024 | Δ12Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         4871.00 |               0.00 |        4871.00 |
|        4 | 2024 | Δ13Μ     | ΙΚΑ-ΕΦΚΑ                 |                 1 |         2856.00 |               0.00 |        2856.00 |
